Species Epithet
×grandiflora
×atkinsiana
×australis
×crocosmiiflora
×damascena
×ferrissii
×gandavensis
×generalis
×hybrida
×incomparabilis
×intermedia
×intermedius
×laetiflorus
×medioluteus
×odorus
×paradisiaca
×piperita
×rotundifolia
×soulangiana
abortivus
abscissum
abscondita
abyssinica
acanthium
acaule
acaulis
acerifolium
acetosella
aciculare
acicularis
acidicola
aconitifolia
acre
acris
acrostichoides
aculeata
aculeatus
acuminata
acuminatum
acuminatus
acuta
acutiflora
acutifolia
acutiloba
acutissima
acutus
adhaerens
adnatum
adspersa
advena
aegyptium
aequinoctialis
aestivalis
aestivum
aestuans
aethiopicus
aethusae
aggregata
aggregatus
agnus-castus
agrestis
ajacis
alabamense
alabamensis
alabamica
alabamicum
alata
alatum
alatus
alba
albescens
albicans
albida
albidum
albiflora
albolutescens
album
albursina
albus
alcaeoides
alifanus
allegheniensis
alluviorum
alnifolia
aloifolia
alopecuroidea
alopecuroides
alsinoides
alterniflora
alternifolia
altissima
altissimum
altissimus
alyssoides
amabilis
amarum
amarus
ambigua
ambiguus
ambrosioides
amelanchier
americana
americanum
americanus
amilis
amoena
amomum
ampeloprasum
amphiantha
amphibia
amphibola
amplectens
amplexicaule
amplexicaulis
amplifolia
amplifolius
amurense
anagallis-aquatica
anceps
androsaemifolium
anglicum
angularis
angulata
angulatus
anguria
angusta
angustata
angustifolia
angustifolium
angustifolius
anisata
annectens
annua
annulum
annuum
annuus
anomalum
anonyma
anthelatus
anthelmintica
antillana
antirrhina
aparine
aphaca
aphylla
apoda
appalachiana
appalachianum
appalachica
appendiculata
appendiculatum
appressa
aprica
aptera
aquatica
aquaticum
aquilinum
arabica
arachnifera
arborea
arborescens
arboreum
arbutifolia
arctatus
arcuata
arenicola
arenicoloides
areolata
argentea
arguta
argutus
argyranthemus
argyrinea
argyrocoma
arietinum
arifolia
aristata
aristatum
aristosa
arizonica
arkansana
armeria
aromatica
aromaticum
artemisiifolia
articulatus
arundinacea
arundinaceum
arundinaceus
arvense
arvensis
asarifolia
ascendens
ashei
asper
aspera
asperifolia
asphodeloides
asplenioides
assurgens
asteriscus
asteroides
atamasca
atlantica
atlanticum
atriplicifolium
atropurpurea
atropurpureus
atrorubens
atrovirens
aurea
aureolensis
aureosulcata
aureum
auriculata
auriculatum
australe
australis
austrina
austrinum
austrocaroliniana
austrodeflexa
autumnale
autumnalis
avenaceum
aviculare
axillaris
azedarach
azurea
babylonica
baccata
baccharis
bahiensis
baileyi
baldschuanica
balduinii
baldwiniana
baldwinii
baldwyniana
balsamina
baltzellii
barbara
barbata
barbatus
barbinode
barrattii
bartramii
basalis
basiantha
batatas
bealei
benedicta
benghalensis
benzoin
bergii
berlandieri
bicolor
bicornis
bidentata
bidentis
biennis
bifaria
bifida
bifidum
biflora
biflorum
biflorus
bifrons
bigelovii
bignonioides
biltmoreana
bipartita
bipartitus
bipinnata
bipinnatifida
bipinnatus
biternata
biternatum
bivalve
blanda
blattaria
blitoides
blitum
bombensis
bona-nox
bonariensis
boomii
borbonia
boschiana
boscianum
boscii
botryoides
botrys
boykinii
boyntonii
brachiata
brachiatum
brachycarpa
brachycarpus
brachycephalus
brachychaeta
brachypetalum
brachyphylla
brachyphyllum
brachypodum
brachysperma
brachystachyus
bracteata
bracteatum
bradburiana
bradleyi
brasiliensis
braunii
brevibarbe
brevicaulis
brevidens
brevifolia
brevifolium
brevifolius
brevior
brevipedunculata
brevirostra
breviseta
brevivaginata
brittonii
bromoides
brysonii
bufonius
bulbifera
bulbispermum
bulbosa
bulbosus
bullata
bungei
burdickii
burksiorum
bursa-pastoris
bushii
butleri
caduca
caerulea
caerulescens
caesia
caespitosa
caespitosum
cahaba
cairica
calamintha
calamus
calcaricus
calciphilum
calcitrapa
calendulaceum
californica
californicus
calleryana
calpodendron
calviceps
calycina
calycosus
camara
campanulata
campestre
campestris
camphora
camphorata
camporum
canadense
canadensis
canariensis
candida
candidum
canescens
canina
cannabinum
cantoniensis
capensis
capillacea
capillaceum
capillare
capillaris
capillifolium
capillipes
capillus-veneris
capitata
capitatum
capitatus
capitellata
capreolata
caracasana
cardiaca
cardinalis
careyana
carica
carinata
carnea
carolina
carolinae-septentrionalis
carolinense
carolinensis
caroliniana
carolinianum
carolinianus
caroliniense
caroliniensis
carolinus
