Infraspecies Epithet
aberrans
acuminata
acuminatum
acutiflora
adenolepis
aestivalis
affine
africana
alabamensis
alabamica
alatum
alba
albicans
albolineata
amarulum
amarum
amblyogona
americanum
americanus
anagallidea
anceps
angulata
angustifolia
angustifolius
aquilonia
arenicola
arifolia
aristata
aristatum
ashei
aspera
aureum
australe
australis
aviculare
azurea
baileyana
baldwinii
benzoin
beyrichiana
bicolor
biflorum
boottii
boscianum
brachiata
brachystyla
bracteata
brasiliensis
brevicrinis
brevistipata
brevistolon
bulbosum
caesium
calcicola
calciphilum
callifolia
canadense
canadensis
candicans
capitatus
carolinae
caroliniana
carolinianum
celtidifolia
chrysocarpum
ciliata
ciliatifolia
ciliatifolium
cinerea
coarctata
collina
combsii
commutatum
comosa
compacta
compositum
compositus
concinnum
condensa
copulata
cordata
cordatotriloba
corymbosa
crassa
crebra
cretica
crinita
cruciata
cryptolepis
cucumerifolius
curtissii
dasycarpum
debilis
decangulare
densiflorum
depressa
depressum
detonsa
dichotomum
digitalis
digitata
divaricata
divergens
dobbsii
dolomiticola
drummondii
dubia
elatius
elegans
elliottii
elliptica
elongata
enervis
engelmannii
equilaterale
erecta
erostellata
esculenta
fallax
fascicularis
fasciculatum
fernaldiana
ferrugineum
filiculmis
fistulosa
flava
flavovirens
floridana
floridanum
foetida
foliosiflora
fortunei
fraterniflora
fruiticosa
fulgida
gattingeri
geniculata
georgiana
gigantea
glabra
glabrata
glabratum
glabrescens
glabriflorus
glabrum
glandulissimum
gracile
gracilis
gramineum
graminifolia
grandiflora
guadalupensis
hachijoensis
harperi
harveyana
herbiola
heterophylla
hexapetala
hirsuta
hirta
hirtiflorum
hispida
horridulum
humilis
hypoleucum
incana
inclinata
integrifolia
interior
intermedia
intermedius
isocycla
joorii
kralii
laciniata
laeve
laevicaule
lanceolata
lanceolatum
lancifolia
laphamii
latifolia
latifolium
latiusculum
laxiculmis
leporinum
leptosepala
leptostachys
leptostachyus
leucanthera
leucoblepharis
ligustrina
limnophila
lindheimeri
lithophilum
lobata
longaculeatus
longepedunculatum
longespica
longifolia
lutea
macrantha
macrophylla
macropoda
macrostachyus
major
mariana
maxima
media
megacanthum
mexicana
michauxiana
micrantha
micranthos
micranthum
microcarpa
microphylla
microstachya
mineolana
mobilense
mollis
muehlenbergii
muhlenbergii
munsoniana
muricata
neglectum
nitidum
obovata
odoratus
oligosanthes
orientalis
ovalifolia
ovalis
ovata
ovatifolium
oxylepis
ozarkana
ozarkanus
pallens
palmata
palustris
parlinii
parvifolia
patens
patula
patulum
pauciflora
pedunculatum
peregrina
perenne
philadelphicum
pilosa
pilosum
pinnatiloba
pontica
portoricense
praemorsa
pringlei
pseudocaudatum
pseudoconstricta
pseudoptera
psoralioides
puberula
puberulum
pubescens
pubiflorum
pulcherrima
pulverulenta
punctata
puniceum
purpuratum
pusillus
raddianus
ramosissima
raynalii
reniforme
reptans
resinosa
rhizomata
rigida
rigidiuscula
rigidula
riparia
roanokense
robbinsii
robinsonii
robustum
rosea
rotundifolia
rubrum
rudgei
rugosa
ruthii
sagittata
sangamonensis
saxicola
scabricaule
scabriuscula
scaposa
scoparium
scribnerianum
secunda
septentrionalis
sericeum
setaceum
setarius
sharpii
shrevei
shuttleworthii
silicicola
simulans
smalliana
socialis
solutus
songarica
spathulata
speciosa
spectabilis
spicata
squarrosus
stamineum
stipata
stoloniferum
stramineum
strictula
strigosum
strigosus
subaxillaris
subcordata
subglabrata
subglobosa
supinum
sylvatica
synchaetum
tainturieri
tardiflorus
tenuifolia
tenuissimus
texana
texanum
tomentosa
torreyana
trachycarpus
trachysperma
tribuloides
trifoliata
trifoliatum
triloba
trilobum
tripartitus
tristis
umbrosa
uninervia
vaginiflorus
verrucosa
verticillata
virginiana
virginica
virginicus
viridis
vittata
vulgare
vulgaris
wherryi
xalapensis
yuccifolium
