Family
ACANTHACEAE
ACERACEAE
ACORACEAE
ADOXACEAE
AGAVACEAE
AIZOACEAE
ALISMATACEAE
ALSTROEMERIACEAE
ALTINGIACEAE
AMARANTHACEAE
AMARYLLIDACEAE
ANACARDIACEAE
ANNONACEAE
APIACEAE
APOCYNACEAE
AQUIFOLIACEAE
ARACEAE
ARALIACEAE
ARECACEAE
ARISTOLOCHIACEAE
ASPARAGACEAE
ASPLENIACEAE
ASTERACEAE
ATHYRIACEAE
BALSAMINACEAE
BASELLACEAE
BATACEAE
BEGONIACEAE
BERBERIDACEAE
BETULACEAE
BIGNONIACEAE
BLECHNACEAE
BORAGINACEAE
BRASSICACEAE
BROMELIACEAE
BURMANNIACEAE
BUXACEAE
BYTTNERIACEAE
CABOMBACEAE
CACTACEAE
CALYCANTHACEAE
CALYCERACEAE
CAMPANULACEAE
CANNABACEAE
CANNACEAE
CAPPARACEAE
CAPRIFOLIACEAE
CARYOPHYLLACEAE
CASUARINACEAE
CELASTRACEAE
CELTIDACEAE
CERATOPHYLLACEAE
CERVANTESIACEAE
CHENOPODIACEAE
CHRYSOBALANACEAE
CISTACEAE
CLEOMACEAE
CLETHRACEAE
CLUSIACEAE
COLCHICACEAE
COMANDRACEAE
COMMELINACEAE
CONVOLVULACEAE
CORNACEAE
CRASSULACEAE
CUCURBITACEAE
CUPRESSACEAE
CYCADACEAE
CYMODOCEACEAE
CYPERACEAE
CYRILLACEAE
CYSTOPTERIDACEAE
DENNSTAEDTIACEAE
DIAPENSIACEAE
DIERVILLACEAE
DIOSCOREACEAE
DIPSACACEAE
DROSERACEAE
DRYOPTERIDACEAE
EBENACEAE
ELAEAGNACEAE
ELATINACEAE
EQUISETACEAE
ERICACEAE
ERIOCAULACEAE
EUPHORBIACEAE
FABACEAE
FAGACEAE
GELSEMIACEAE
GENTIANACEAE
GERANIACEAE
GLEICHENIACEAE
GROSSULARIACEAE
GUNNERACEAE
HAEMODORACEAE
HALORAGACEAE
HAMAMELIDACEAE
HEMEROCALLIDACEAE
HIPPOCASTANACEAE
HYACINTHACEAE
HYDRANGEACEAE
HYDROCHARITACEAE
HYDROLEACEAE
HYMENOPHYLLACEAE
HYPERICACEAE
HYPOXIDACEAE
ILLICIACEAE
IRIDACEAE
ISOETACEAE
ITEACEAE
JUGLANDACEAE
JUNCACEAE
JUNCAGINACEAE
LAMIACEAE
LARDIZABALACEAE
LAURACEAE
LENTIBULARIACEAE
LILIACEAE
LINACEAE
LINDERNIACEAE
LINNAEACEAE
LOGANIACEAE
LOMARIOPSIDACEAE
LORANTHACEAE
LYCOPODIACEAE
LYGODIACEAE
LYSIMACHIACEAE
LYTHRACEAE
MAGNOLIACEAE
MALVACEAE
MARANTACEAE
MARSILEACEAE
MARTYNIACEAE
MAYACACEAE
MAZACEAE
MELANTHIACEAE
MELASTOMATACEAE
MELIACEAE
MENISPERMACEAE
MENYANTHACEAE
MOLLUGINACEAE
MONTIACEAE
MORACEAE
MUSACEAE
MYRICACEAE
MYRSINACEAE
NARTHECIACEAE
NELUMBONACEAE
NEPHROLEPIDACEAE
NYCTAGINACEAE
NYMPHAEACEAE
NYSSACEAE
OLEACEAE
ONAGRACEAE
ONOCLEACEAE
OPHIOGLOSSACEAE
ORCHIDACEAE
OROBANCHACEAE
OSMUNDACEAE
OXALIDACEAE
PAPAVERACEAE
PARNASSIACEAE
PASSIFLORACEAE
PAULOWNIACEAE
PEDALIACEAE
PENTAPHYLACACEAE
PENTHORACEAE
PHRYMACEAE
PHYLLANTHACEAE
PHYTOLACCACEAE
PINACEAE
PIPERACEAE
PITTOSPORACEAE
PLANTAGINACEAE
PLATANACEAE
PLUMBAGINACEAE
POACEAE
PODOCARPACEAE
PODOSTEMACEAE
POLEMONIACEAE
POLYGALACEAE
POLYGONACEAE
POLYPODIACEAE
PONTEDERIACEAE
PORTULACACEAE
POTAMOGETONACEAE
PRIMULACEAE
PSILOTACEAE
PTERIDACEAE
RANUNCULACEAE
RESEDACEAE
RHAMNACEAE
ROSACEAE
RUBIACEAE
RUPPIACEAE
RUSCACEAE
RUTACEAE
SALICACEAE
SALVINIACEAE
SAMOLACEAE
SANTALACEAE
SAPINDACEAE
SAPOTACEAE
SARRACENIACEAE
SAURURACEAE
SAXIFRAGACEAE
SCHISANDRACEAE
SCHIZAEACEAE
SCROPHULARIACEAE
SELAGINELLACEAE
SIMAROUBACEAE
SMILACACEAE
SOLANACEAE
SPHENOCLEACEAE
STAPHYLEACEAE
STEMONACEAE
STERCULIACEAE
STYRACACEAE
SYMPLOCACEAE
TALINACEAE
TETRACHONDRACEAE
THEACEAE
THELYPTERIDACEAE
THYMELAEACEAE
TILIACEAE
TOFIELDIACEAE
TURNERACEAE
TYPHACEAE
ULMACEAE
URTICACEAE
VALERIANACEAE
VERBENACEAE
VIOLACEAE
VISCACEAE
VITACEAE
WOODSIACEAE
XANTHORRHOEACEAE
XYRIDACEAE
ZANNICHELLIACEAE
ZINGIBERACEAE
ZYGOPHYLLACEAE
