Genus
Abelia
Abelmoschus
Abutilon
Acalypha
Acanthospermum
Acer
Achillea
Achyranthes
Acicarpha
Acmella
Acmispon
Aconitum
Acorus
Actaea
Adiantum
Adonis
Aegilops
Aeschynomene
Aesculus
Aethusa
Agalinis
Agarista
Agastache
Agave
Ageratina
Ageratum
Agrimonia
Agrostemma
Agrostis
Ailanthus
Aira
Ajuga
Akebia
Albizia
Alcea
Aletris
Alisma
Alliaria
Allium
Alnus
Alopecurus
Alstroemeria
Alternanthera
Alysicarpus
Alyssum
Amaranthus
Ambrosia
Amelanchier
Amianthium
Ammannia
Ammi
Ammoselinum
Amorpha
Ampelopsis
Amphiachyris
Amphicarpaea
Amphicarpum
Amsonia
Anagallis
Andropogon
Anemone
Anethum
Angelica
Anoda
Antennaria
Anthemis
Anthenantia
Anthoxanthum
Anthriscus
Antigonon
Antirrhinum
Aphanes
Apios
Aplectrum
Apocynum
Apteria
Aquilegia
Arabidopsis
Arabis
Arachis
Aralia
Arctium
Ardisia
Arenaria
Argemone
Arisaema
Aristida
Arivela
Arnica
Arnoglossum
Aronia
Arrhenatherum
Artemisia
Arthraxon
Aruncus
Arundinaria
Arundo
Asarum
Asclepias
Asemeia
Asimina
Asparagus
Aspidistra
Asplenium
Aster
Astilbe
Astragalus
Astranthium
Astrolepis
Asystasia
Athyrium
Atriplex
Aureolaria
Avena
Axonopus
Azolla
Baccharis
Bacopa
Balduina
Ballota
Baptisia
Barbarea
Bartonia
Basella
Bassia
Batis
Begonia
Berberis
Berchemia
Berlandiera
Betula
Bidens
Bifora
Bigelowia
Bignonia
Blechnum
Blephilia
Boechera
Boehmeria
Boerhavia
Bolboschoenus
Boltonia
Borrichia
Bothriochloa
Botrypus
Bouchea
Bouteloua
Bowlesia
Boykinia
Brachyelytrum
Bradburia
Brasenia
Brassica
Brickellia
Brintonia
Briza
Bromus
Broussonetia
Brunnichia
Bryophyllum
Buchnera
Buddleja
Buglossoides
Bulbostylis
Bupleurum
Burmannia
Buxus
Cabomba
Cakile
Calamagrostis
Calamovilfa
Calibrachoa
Callicarpa
Callirhoe
Callisia
Callitriche
Calopogon
Calycanthus
Calycocarpum
Calyptocarpus
Calystegia
Camassia
Camelina
Campanula
Campanulastrum
Campsis
Canna
Cannabis
Caperonia
Capsella
Capsicum
Cardamine
Cardiospermum
Carduus
Carex
Carphephorus
Carpinus
Carthamus
Cartrema
Carya
Castanea
Castilleja
Casuarina
Catalpa
Catharanthus
Caulophyllum
Cayaponia
Cayratia
Ceanothus
Celastrus
Celosia
Celtis
Cenchrus
Centaurea
Centaurium
Centella
Centrosema
Cephalanthus
Cerastium
Ceratiola
Ceratophyllum
Ceratopteris
Cercis
Chaenomeles
Chaenorrhinum
Chaerophyllum
Chaiturus
Chamaecrista
Chamaecyparis
Chamaelirium
Chaptalia
Chasmanthium
Cheilanthes
Chelone
Chenopodium
Chimaphila
Chionanthus
Chloris
Christella
Chromolaena
Chrozophora
Chrysanthemum
Chrysogonum
Chrysoma
Chrysopsis
Chrysosplenium
Cicer
Cichorium
Cicuta
Cinna
Cinnamomum
Circaea
Cirsium
Cissus
Citrullus
Citrus
Cladanthus
Cladium
Cladrastis
Claytonia
Cleistesiopsis
Clematis
Clerodendrum
Clethra
Cliftonia
Clinopodium
Clitoria
Cnidoscolus
Cocculus
Coelorachis
Coleataenia
Collinsia
Collinsonia
Colocasia
Comandra
Commelina
Conium
Conoclinium
Conopholis
Conradina
Conringia
Convallaria
Convolvulus
Conyza
Cooperia
Corallorhiza
Corchorus
Coreopsis
Cornus
Cortaderia
Corydalis
Corylus
Cosmos
Cotinus
Crataegus
Crepidomanes
Crepis
Crinum
Crocanthemum
Crocosmia
Croomia
Croptilon
Crotalaria
Croton
Cryptotaenia
Ctenium
Cucumis
Cucurbita
Cunila
Cunninghamia
Cuphea
Cupressus
Cuscuta
Cycas
Cycloloma
Cyclospermum
Cynanchum
Cynodon
Cynoglossum
Cynosciadium
Cynosurus
Cyperus
Cypripedium
Cyrilla
Cyrtomium
Cystopteris
Cytisus
Dactylis
Dactyloctenium
Dalea
Danthonia
Dasistoma
Datura
Daucus
Decodon
Decumaria
Delphinium
Dendrolycopodium
Dennstaedtia
Deparia
Deschampsia
Descurainia
Desmanthus
Desmazeria
Desmodium
Deutzia
Diamorpha
Dianthus
Diaperia
Diarrhena
Dicentra
Dicerandra
Dichanthelium
Dichondra
Dichrostachys
Dicliptera
Dicranopteris
Didiplis
Didymoglossum
Diervilla
Digitaria
Diodia
Dioscorea
Diospyros
Diphasiastrum
Diplazium
Diplotaxis
Dipsacus
Dirca
Distichlis
Ditrysinia
Dodecatheon
Doellingeria
Draba
Dracopis
Drosera
Drymaria
Dryopteris
Duchesnea
Dulichium
Dyschoriste
Dysphania
Echinacea
Echinochloa
Echinodorus
Eclipta
Egeria
Eichhornia
Elaeagnus
Elatine
Eleocharis
Elephantopus
Eleusine
Elodea
Elymus
Emilia
Endodeca
Enemion
Enteropogon
Epidendrum
Epifagus
Epigaea
Epilobium
Equisetum
Eragrostis
Erechtites
Eremochloa
Erigenia
Erigeron
Eriocaulon
Eriochloa
Eriogonum
Erodium
Erucastrum
Eryngium
Erysimum
Erythrina
Erythronium
Eschscholzia
Eubotrys
Euonymus
Eupatorium
Euphorbia
Eurybia
Eustachys
Eustoma
Euthamia
Eutrochium
Evolvulus
Facelis
Fagopyrum
Fagus
Fallopia
Fatoua
Festuca
Ficaria
Ficus
Fimbristylis
Firmiana
Flaveria
Fleischmannia
Forestiera
Forsythia
Fothergilla
Fragaria
Frangula
Frasera
Fraxinus
Froelichia
Fuirena
Fumaria
Gaillardia
Galactia
Galanthus
Galax
Galearis
Galinsoga
Galium
Gamochaeta
Gaudinia
