Authors
A. & D. Löve
A. Anderberg
A. Braun
A. Camus
A. Dietrich
A. Gray
A. Haines
A. Heller
A. Hitchcock
A. Jussieu
A. Löve
A. Richard
A. Wood
A.A. Eaton
A.G. Jones
A.J. Scott
A.P. de Candolle
A.P. de Candolle ex Loudon
A.W. Wood
Adams & Robson
Aellen
Ahles
Airy-Shaw
Aiton
Aiton f.
Alain
Alexander
Alexeev
Allioni
Alphonse de Candolle
Al-Shehbaz
Alston
Ames
Ames ex P.M. Brown
Anderberg
Anderson
Andrews & Windham
Andrzejowski
Andrzejowski ex Besser
Arechavaleta
Arnott
Ascherson
Ascherson & Graebner
Ashe
Ashe ex Small
Atkinson & Bartlett
Aublet
Austin
B. L. Robinson
B.D. Greene
B.E. Wofford
B.F. Hansen & Wunderlin
B.K. Simon & S.W.L. Jacobs
B.L. Robinson
B.R. Keener & Kral
B.R. Keener & L.J. Davenport
Bailey
Baillon
Baker
Baldwin
Baldwin ex Elliott
Baldwin ex Gray
Banks & Solander ex Koenig
Banks ex A.P. de Candolle
Barkworth
Barneby
Barnhart
Barnhart ex Small
Barrett
Bartling
Bartram
Bartram ex Willdenow
Batsch
Baumgarten
Beadle
Beadle & Boynton
Beauvois
Beauvois ex J. & K. Presl
Beauvois ex Poiret
Beauvois ex Roemer & Schultes
Beck
Beddome
Benham & Windham
Bentham
Bentham & Hooker f.
Bentham & Hooker f. ex B.D. Jackson
Bentham & Hooker f. ex S. Watson
Bentham ex Lindley
Berger
Bergius
Bernhardi
Bernhardi ex Trinius
Bertoloni
Besser
Betcke
Beyrich ex Kunth
Beyrich ex Trinius
Bicknell
Bieberstein
Biehler
Bigelow
Blake
Blake & Sherff
Blasdell
Blume
Boeckler
Boenninghausen ex Reichenbach
Boissier
Boissier & Reuter
Boivin
Bojer ex Sims
Boott
Borkhausen
Börner
Bosc
Bosc ex Nees
Boynton
Brackett
Brainerd
Braun
Braun ex Engelmann
Brenan
Brickell
Bridges & Orzell
Briquet
Britton
Britton & Baker
Britton & Rusby
Britton & Small ex Small
Britton ex Kearney
Britton ex Sargent
Britton ex Small
"Britton, Sterns & Poggenberg"
"Britton, Sterns & Poggenburg"
Brongniart
Brooks
Brotero
Brownsey & Jermy
Brummitt
"Bryson, Kral & Manhart"
Buchanan-Hamilton ex Roxburgh
Buchenau
Buckley
Bunge
Burman
Burman f.
Bush
C. A. Meyer
C. Christensen
C. Jeffrey
C. Mohr
C. Presl
C. Wright
C. Wright ex Grisebach
C.A. Meyer
C.E. Hubbard
C.E. Wood
C.F. Reed
C.J. Garrett ex S.B. Farmer ined.
C.W. James
Cabrera
Camp
Campdera
Carey
Carey ex Chapman
Carrière
Carrière ex C. Rivière
Carruthers
Caruel
Caspary
Cassini
Cassini ex Spach
Cavanilles
Cavara & Grande
Cervantes ex Lagasca
Chambers
Chamisso
Chamisso & Schlechtendahl
Chamisso & Schlechtendhal
Chapman
Chapman ex Alphonse de Candolle
Chapman ex Bentham
Chapman ex Britton
Chapman ex Dewey
Chapman ex Engelmann
Chapman ex M.A. Curtis
Chapman ex Torrey & Gray
Chase
Chevallier
Chew
Ching
Chiovenda
Chodat
Choisy
Clairville
Clarke
Clarke ex Britton
Clute
Conrad
Constance
Copeland
Core
Correll
Cory
Cosson
Cosson & Germain
Coulter
Coulter & Rose
Coulter & Rose ex Small
Coville
Cranfill
Crantz
Crépin
Cronquist
Curtis
D. Don
D. Don ex Loudon
D. Estes
D. Estes & R.L. Small
D. Estes ined.
D.A. Sutton
D.A. Werier
D.B. Ward
D.C. Eaton
D.F. Brunton
D.F. Brunton & D.M. Britton
D.H. Goldman
D.R. Hunt
D.S. Mitchell
D’Arcy
D’Urville
Dandy
Darby
Daubs
de Bruyn
Decaisne
Dennstaedt
Desfontaines
Desfontaines ex Poiret
Desportes ex Persoon
Desrousseaux
Desvaux
Desvaux ex Hamilton
Desvaux ex Poiret
Dewey
Dietrich
Dillenius ex A. Braun
Doell & Ascherson
Douglas ex Hooker
Dress
Druce
Drude
Dryander
Duby
Duchesne
Dufresne
Dumont
Dumont de Courset
Dumortier
Dunal
Duncan
Durand & Jackson
Durazzini
E. A. Smith
E. Grant & Epling
E. Meyer
E. Meyer ex Naudin
E.E. Lamont
E.E. Watson
E.E. Wilson
E.H.L. Krause
E.J. Palmer & Steyermark
E.S. Anderson & Woodson
Eaton
Ebihara & K. Iwatsuki
Ebihara & Weakley
Eggleston
Ehrendorfer & Polatschek
Ehrhart
Elliott
Elliott ex Bentham
Ellis
Endlicher
Endlicher & Drude
Endlicher f.
Engelmann
Engelmann & Gray
Engelmann ex A. Braun
Engelmann ex Boeckler
Engelmann ex Gray
Engelmann ex Millard
Engelmann ex S. Watson
Engler & Graebner
Epling
F. Mueller
F. Mueller ex Bentham
F.W. & R.B. Case
Farrar
Farrar & Mickel
Farrar & Raine
Farwell
Fassett
Fée
Fenzl
Fenzl ex Walpers
Fernald
Fernald & Gale
Fernald & Schubert
Fischer & Avé-Lallemant
Fischer & Magnus
Fischer & Meyer
Fishbein & W.D. Stevens
Flügge
Focke
Forsskål
"Fortunato, L.P. Queiroz & G.P. Lewis"
Fortune
Fortune ex Lindley
Fougeroux
Fournier
Fourreau
Franchet
Franchet & Rochebrune ex Crépin
Franco
Fraser ex Roscoe
Freckmann
Freckmann & Lelong
Fries
G. Don
G. Forster
G. Lawson
G. Tucker
G.L. Nesom & Zarucchi
G.L. Webster
G.S. Miller & Standley
Gaertner
Gagnepain
Gale
Gandoger
Garcke
Garden ex Linnaeus
Gattinger
Gaudichaud-Beaupré
Gay & Durieu ex Durieu
Gillies ex Moquin-Tandon
Gleason
Gmelin
Godfrey
Goldblatt & Mabberley
Gomes
Gomez Maza
Goodman
Gordon
Gould
Gould & Clark
Govaerts & Frodin
Graebner
Graham
Gray
Gray ex Beck
Gray ex Britton
Gray ex Chapman
Gray ex S. Watson
Gray ex S. Watson & Coulter
Greene
Greene ex Porter & Britton
Greenway
Greuter & Burdet
Greville & Hooker
Grisebach
Grönland & Rümpler
Gussone ex Tenore
H. Eaton
H. Gross ex Nakai
H. Ohashi & R. R. Mill
H. Ohba
H. Pfeiffer
H. Robinson
H. Rock
H. Scholtz
H.E. Robinson
H.H. Iltis
Hackel
Hackel ex Hitchcock
Hackel ex Vasey
Hagelmaier
Hall & Ward
Hallier f.
Hamet & Perrier
Handel-Mazzetti
Hanes
Hansen & Wunderlin
Hara
Harbison
Harper
Harvill
Hasskarl
Haufler & Windham
Haworth
Hayata
Hayek
Hayne
Hegelmaier
Heimerl
Heiser
Heller
Hemsley
Henrard
Henry
Herbert
Hermann
Herter
Heynhold
Hill
Hilliard & Burtt
Hinton
Hitchcock
Hochreutiner
Hogg
Holttum
Holub
Hook.
Hooker
Hooker & Arnott
Hooker & Arnott ex Torrey
Hooker &Arnott
Hooker ex Goldie
Hooker f.
Hornemann
Host
House
Houttuyn
Howe
Hudson
"Humboldt, Bonpland & Kunth"
Hutchinson
I. M. Johnston
I.M. Johnston
Irwin & Barneby
Isley
J. & K. Presl
J. A. & J. H. Schultes
J. A. Schultes
J. Campbell
J. D. Freeman
J. F. Macbride
J. G. Smith
J. Gay ex Laharpe
J. Léonard
J. M. Coulter & Rose
J. Nelson
J. Presl
J. Smith
J. Webber & P.W. Ball
J.A. & J.H. Schultes
J.A. Schultes
J.B.S. Norton ex Pennell
J.E. Watkins & D.R. Farrar
J.F. Gmelin
J.G. Smith
J.R. Allison
J.R. Forster
J.W. Robbins
Jacques
Jacquin
Janchen
Judd
Junghuhn
Jussieu
K. C. Gmelin
K. Gould
K. Koch
K. Presl
K. Schumann
K.C. Gmelin
K.E. Rogers
K.G. Mathews & Weakley
K.M. Pryer & L.R. Phillippe
Kalkman
Karsten
Kartesz
Kearney
Kearney ex Wherry
Kearny
Kellogg
Keng
Ker-Gawler
Kerguélen
Kiger
King & H.E. Robinson
Kitaibel
Klotzsch
Knowlton
Koch
Koehne
Koeler
Koenig
Körnicke
Kral
Kral & Bostick
Kral & Moffett
Krause
Kükenthal
Kuhlmann
Kuhn
Kunth
Kuntze
Kunze
Kurz
L.
L. C. Richard ex Steudel
L.C. Richard
L.H. Dewey
L’Heritier
L’Héritier
L’Heritier ex Aiton
Lagasca
Lagasca & Rodriguez
Lamarck
Lambert
Lamboy
Lange
Lassen
Laxmann
Le Conte
Le Conte ex Torrey
Leavenworth
LeBlond
LeBlond ined.
Ledebour
Leggett ex Britton
Lehmann
Lessing
Leysser
Li
Liebmann
Lindau
Lindley
Lindley & Paxton
Lindley ex A.P. de Candolle
Link
Linnaeus
Linnaeus f.
Linnaeus L.C. Anderson
Lloyd
Lloyd & Underwood
Loddiges
Loddiges ex J.A. & J.H. Schultes
Loefling
Loiseleur
Loudon
Loureiro
Löve & Löve
Luer
Lutati
Lye
Lyon
M. A. Curtis
M. Broun
M. Gomez
M. Hopkins
M. Kato
M. Martens & Galeotti
M. Martinez
M. Micheli
M. Roemer
M.A Curtis
M.A. Alonso & M.B. Crespo
M.A. Curtis
M.A. Curtis ex Chapman
M.A. Curtis ex Gray
M.T. Strong
Macfarlane
Mackenzie
Mackenzie & Bush
Mackenzie ex Bright
Mackenzie ex Small
MacMillan
Magnus
Makino
Malme
Marshall
Martens
Martius
Mathias & Constance
Matsumura & Nakai
Mattfeld
Maximowicz
McAtee
McClure
McGregor
McNeill
McVaugh
Medicus
Meerburgh
Meisner
Merrill
Merrill ex Hitchcock
Mettinius
Meyer
Mez ex Ekman
Michaux
Michaux ex Willdenow
Michaux f.
Miers
Millais
Miller
Miller Carrière
Milne-Redhead & Schweickerdt
Miquel
Moench
Mohlenbrock
Mohlenbrock & Schwegman
Mohr
Moldenke
Molina
Moquin-Tandon
Morong
Moss
Mosyakin & Clemants
Mueller-Aargau
Muenchhausen
Muhlenberg
Muhlenberg ex Bartram
Muhlenberg ex Bigelow
Muhlenberg ex Elliott
Muhlenberg ex Schkuhr
Muhlenberg ex Torrey
Muhlenberg ex Willdenow
Munro
Munro ex Wright
Murray
Myint
N. Luebke
N.E. Brown
N.E. Pfeiffer
Naczi
Naczi & B.A. Ford
Naczi & Bryson
Naczi & Cochrane
"Naczi, Case & R.B. Case"
"Naczi, Kral & Bryson"
"Naczi, Reznicek & Ford"
"Naczi, W. Knapp, & Gerry Moore"
Nakai
Nash
Nees
Nees ex Steudel
Nees ex Trinius
Nesom
Nesom & Pruski
Nguyen
Nicholson
Nicora
Nieuwland
Norton ex Pennell
Nuttall
Nuttall ex A.P. de Candolle
Nuttall ex Alphonse de Candolle
Nuttall ex Hooker
Nuttall ex Piper
Nuttall ex Sims
Nuttall ex Torrey & Gray
O.E. Schulz
Oakes
Ohwi
O'Kane & Al-Shehbaz
Opiz
Ortega
Ownbey & Aase
P. Adams
P. Adams & Robson
P. Miller
"P.D. McMillan, Sorrie & van Eerden"
P.J. Buchoz ex Etlinger
P.M. Brown
P.M. Peterson
P.W. Ball & Heywood
P.W. Michael
Palisot de Beauvois
Palla
Palla ex Raynal
Pallas
Pansarin & F. Barros
Parks & Hardin
Parlatore
Parodi
Patrick
Pax
Peck
Pennell
Perdue
Persoon
Philippi
Pilger
Piper
Planchon
Poeppig & Kunth
Poiret
Poiret ex Lamarck
Pollich
Porter
Porter ex Bailey
Pourret ex Lamarck
Prance
Prantl
Presl
Pritzel
Pruski
Pursh
Pursh ex Ker-Gawler
Pursh ex Small
R. Brooks
R. Brown
R. Brown ex A.P. de Candolle
R. Brown ex Aiton f.
R. Keller
R. LeBlond
R. Miller
R. Stuckey
R. Webster
R.P. St. John
Rabeler
Raddi
Raeuschel
Rafinesque
Rafinesque ex A.P. de Candolle
Rafinesque ex Barton
Ramond
Rauschert
Raven
Regel
Rehder
Reichenbach
Rendle
Retzius
Reveal & Johnston
Richard
Richardson
Riddell
Riddell ex Rydberg
Rodman
Roemer & J. A. Schultes
Roemer & J.A. Schultes
Roemer & J.A. Schultes ex Loudon
Roemer & Schultes
Roemer ex Kunze
Rogers
Rohrback
Rolfe
Rollins
Rose
Rostkovius
Roth
Roth ex Roemer
Rothmaler
Rottboell
Rottler ex Sprengel
Rovelli ex André
Roxburgh
Rudd
Rudge
Rugel ex A.P. de Candolle
Ruhland
Ruiz & Pavón
Ruprecht
Rydberg
S. Watson
S.F. Gray
S.G. Smith
S.W. Leonard
Saint-Hilaire
Salisbury
Salisbury ex G. Don
Salm-Dyck ex Engelmann
Sandwith
Sargent
Sartwell ex Dewey
Sauer
Savi
Savigny
Scheele
Schindler
Schinz & Thellung
Schkuhr
Schkuhr ex Willdenow
Schlechtendahl
Schlechtendahl & Chamisso
Schlechter
Schlect
Schleiden
Schneider
Schoepf
Schott
Schrader
Schrader ex J.A. Schultes
Schrank
Schreber
Schreber ex Muhlenberg
Schubert
Schultes
Schultz-Bipontinus
Schumacher
Schuyler
Schweinitz
Schweinitz & Torrey
Schweinitz ex Bentham
Schweinitz ex Elliott
Schweinitz ex Torrey
Scopoli
Scribner
Scribner & Ball
Scribner & Merrill
Seemann
Semple
Semple & Brouillet
Shaver
Sheldon
Sherff
Sherman
Sheviak
Shinners
Short & Peter
Shuttleworth
Shuttleworth ex A. Braun
Shuttleworth ex Blake
Shuttleworth ex Chapman
Shuttleworth ex Gray
Shuttleworth ex Kuntze
Shuttleworth ex Small
Sibthorp
Siebert & Zuccarini
Siebold
Siebold & Zuccarini
Sieren
Simmers & Kral
Sims
Sleumer
Small
Small & Heller
Small & Pennell
Small ex Britton
Small ex Rydberg
Small ex Scribner
Smedmark
Smith
Soják
Solander ex Aiton
Solms
Soreng
Sorrie
Sorrie ined.
Soulange-Bodin
Spach
Spegazzini
Sprague ex Britton & Wilson
Sprengel
Spring
Stace
Standley
Stapf
Stearn
Steenis
Steudel
Stokes
Sturm
Sullivant
Svenson
Svenson ex Small
Swartz
Sweet
Swingle
T. Anderson
T. D. Pennington
T. Moore
T.D. Pennington
T.F. Forster
T.M. Schuster & Reveal
T.Q. Nguyen
Tenore
Terrell
Terrell & H. Robinson
Thellung
Thieret
Thomas
Thonning ex Vahl
Thuillier
Thunberg
Thunberg ex Murray
Torrey
Torrey & Gray
Torrey & Gray ex Alphonse de Candolle
Torrey & Gray ex Chapman
Torrey & Hooker
Torrey & Hooker ex Torrey
Torrey ex Chapman
Torrey ex Gray
Torrey ex M.A. Curtis
Torrey ex Steudel
Trattinick
Traub
Trautvetter
Trelease
Trelease ex Branner & Coville
Trevisan
Trinius
Trinius & Ruprecht
Trinius ex Steudel
"Triplett, Weakley & L.G. Clark"
Troncoso
Tuckerman
Tuckerman ex Olney
Turczaninow
Tutin
Tzvelev
Underwood
Urban
V. Lemoine
Vahl
Vail
Van Geel
Van Houtte
Vasconcellos & Franco
Vasey
Vasey ex Sargent
Vaveau
Vellozo
Vent
Ventenat
Verdoorn
Vest
Villars
Vitman
Viviani
Volk ex Schinzius & R. Keller
Vorontsova & Petra Hoffman
W. Bartram
W. Boott
W. Herrmann
W. L. Wagner & Hoch
W. Palmer
W. Stone
W. Wight & Hedrick
W. Wolf
W. Wright
W.A. Weber & A. Löve
W.D. Clayton
W.L. Wagner & Hoch
W.T. Aiton
Wahlenberg
Wallroth
Walpers
Walter
Walter ex J.F. Gmelin
Wangenheim
Warder
Warder ex Engelmann
Ware
Waterfall
Watson
Weakley
Weakley & Gandhi
Weakley & LeBlond
"Weakley, Witsell & D. Estes"
Weatherby
Webb ex Prantl
Weddell
Weihe & Nees
Welwitsch
Wettstein
Wherry
Wiegand
Wiggers
Wight & Arnott
Wight & Arnott ex Nees
Wilbur
Wilbur & Whitson
Willdenow
Willdenow ex J.A. Schultes
Willdenow ex Lehmann
Willdenow ex Roemer & Schultes
Willdenow ex Sprengel
Withering
Wolf
Wood
Wood & Godfrey
Woodson
Wooton & Standley
Yates
Yuncker
Zizka
Zomlefer
Zomlefer & Judd
Zuccarini
